omega_rad_s,y_fit,y_lo_68,y_hi_68
616.436574629852,62.33096820378935,61.82490564376305,62.84582598104019
616.500600240096,62.38872178592174,61.88222369041751,62.90410184256265
616.5646258503401,62.446575667634185,61.93972321504213,62.96247892691021
616.6286514605843,62.504530069395095,61.99735138765718,63.020957456367064
616.6926770708284,62.56258521213012,62.05508042209135,63.079537653676056
616.7567026810724,62.62074131722139,62.11291054344401,63.13821974203793
616.8207282913165,62.67899860650824,62.170604234679885,63.19700394511198
616.8847539015607,62.73735730228619,62.22836213014212,63.25589048701505
616.9487795118047,62.79581762730715,62.28622057531974,63.3148795923217
617.0128051220488,62.85437980477962,62.34417979173839,63.37397148606435
617.0768307322929,62.91304405836793,62.40224000138342,63.43316296551154
617.1408563425371,62.97181061219237,62.46065430372934,63.492419257853285
617.2048819527811,63.03067969082884,62.51939204218223,63.55183719552483
617.2689075630252,63.08965151930917,62.57823326631035,63.611414268398356
617.3329331732693,63.14872632311999,62.63717820705053,63.67073097760788
617.3969587835134,63.2079043282029,62.69622709582667,63.73032509298641
617.4609843937575,63.26718576095475,62.7552373409227,63.79021091567925
617.5250100040016,63.32657084822634,62.81445016532482,63.85041651598532
617.5890356142457,63.386059817322824,62.873767518648336,63.91065116657889
617.6530612244898,63.44565289600307,62.93301394806577,63.9708608421416
617.7170868347339,63.505350312479734,62.99232035477435,64.03117608743281
617.781112444978,63.56515229541832,63.051731288532764,64.09158590062631
617.845138055222,63.62505907393714,63.111246981974965,64.15198651434326
617.9091636654662,63.68507087760723,63.17086766821912,64.21239852389522
617.9731892757103,63.745187936451295,63.23059358086666,64.27258909366488
618.0372148859544,63.80541048094368,63.29042495400256,64.33288416983731
618.1012404961984,63.86573874200972,63.35036202219489,64.39328397699506
618.1652661064426,63.92617295102583,63.410405020495205,64.45378874013713
618.2292917166867,63.986713339818266,63.47052569791788,64.51460810036362
618.2933173269307,64.04736014066297,63.530491535360184,64.57587448184046
618.3573429371748,64.10811358628526,63.590567328049715,64.63720295737627
618.421368547419,64.1689739098589,63.65077987829771,64.69860935389507
618.4853941576631,64.22994134500586,63.711098699932364,64.76012319261868
618.5494197679071,64.29101612579538,63.77152402835826,64.821744703778
618.6134453781513,64.35219848674406,63.83205609945643,64.88347411800923
618.6774709883954,64.41348866281439,63.89269514958324,64.94534574285102
618.7414965986395,64.4748868894146,63.953441415570445,65.00747523660851
618.8055222088835,64.53639340239783,64.01429513472472,65.06966104883796
618.8695478191277,64.59800843806188,64.07539523862908,65.13183673618232
618.9335734293718,64.65973223314782,64.13679941651783,65.19412152133408
618.9975990396158,64.72156502483956,64.1987218726506,65.25630815249912
619.0616246498599,64.78350705076349,64.26082686510807,65.31911298949801
619.1256502601041,64.8455585489871,64.3230433115263,65.38187799348368
619.1896758703481,64.90771975801833,64.38537146109745,65.44473169424265
619.2537014805922,64.96999091680539,64.44746956334353,65.50769619402486
619.3177270908363,65.03237226473499,64.50916949703172,65.57066423010181
619.3817527010805,65.09486404163205,64.57097845685985,65.63372497208155
619.4457783113245,65.15746648775848,64.63289821601956,65.69683759124872
619.5098039215686,65.22017984381297,64.69493414517837,65.75983476413153
619.5738295318127,65.28300435092912,64.75707976438149,65.82294275972421
619.6378551420569,65.3459402506751,64.81950161033875,65.88616181505736
619.7018807523009,65.4089877850523,64.88226179075173,65.94949216756275
619.765906362545,65.47214719649493,64.94513411190343,66.01293405507249
619.8299319727892,65.53541872786818,65.00811882079586,66.07665438439908
619.8939575830332,65.59880262246763,65.07121616489123,66.14067638912985
619.9579831932773,65.66229912401846,65.13442639211144,66.2038737255756
