omega_rad_s,y,model,residu,sigma_y,sigma_x,sigma_eff
3675.663404700058,44.0,42.7188162239914,1.2811837760085965,1.0,6.283185307179586,1.0871193293180772
3738.4952577718536,50.0,47.47121321686409,2.5287867831359065,1.0,6.283185307179586,1.131426993798617
3801.3271108436497,54.0,53.430538869475036,0.5694611305249637,1.0,6.283185307179586,1.203824700898745
3864.1589639154454,62.0,61.06102893418883,0.9389710658111667,1.0,6.283185307179586,1.3235367065592691
3926.9908169872415,72.0,71.03755104757558,0.962448952424424,1.0,6.283185307179586,1.5192699656889221
3989.822670059037,82.0,84.27378918072613,-2.2737891807261263,1.0,6.283185307179586,1.8195782459891816
4052.6545231308332,98.0,101.64361783385878,-3.6436178338587837,1.0,6.283185307179586,2.190334119016587
4115.486376202629,118.0,122.35079724505555,-4.350797245055546,1.0,6.283185307179586,2.3111818995210713
4178.318229274425,142.0,139.32427472609635,2.6757252739036517,1.0,6.283185307179586,1.4438064094490108
4241.150082346221,136.0,139.16879881292505,-3.168798812925047,1.0,6.283185307179586,1.4754177867941334
4303.981935418016,128.0,121.39978942058853,6.600210579411467,1.0,6.283185307179586,2.409986320411238
4366.813788489812,108.0,99.55603168121435,8.44396831878565,1.0,6.283185307179586,2.287217282183665
4429.6456415616085,78.0,81.24903622879533,-3.249036228795333,1.0,6.283185307179586,1.885562080234942
4492.477494633405,64.0,67.36550410150285,-3.36550410150285,1.0,6.283185307179586,1.5592119553173813
4555.3093477052,58.0,56.9562056728897,1.043794327110298,1.0,6.283185307179586,1.3469189066656502
4618.141200776996,46.0,49.031729245055494,-3.0317292450554945,1.0,6.283185307179586,1.2175421331760563
4680.973053848792,42.0,42.86654723047728,-0.8665472304772806,1.0,6.283185307179586,1.139642911926276
