parametre,valor,error_1sigma
Pe,37.092757062553744,0.01945541327028756
Sl,3.8095143111430243,0.01868619428834834
alpha,0.0004426148112773748,6.612008081146823e-06
T,498.42239880073,0.12254944777042533
t_shift,-8.23359716436398,0.34708394316332386

chi2,368.1427287317285
chi2_red,4.136435154289084
dof,89
